,name,sex,category,mianownik,dopełniacz,celownik,biernik,narzędnik,miejscownik,wołacz,nominativus,genetivus,dativus,accusativus,instrumentalis,locativus,vocativus
1151,Zachariasz,m,pl,Zachariaszowie,Zachariaszów,Zachariaszom,Zachariaszów,Zachariaszami,Zachariaszach,Zachariaszowie,Zachariaszowie,Zachariaszów,Zachariaszom,Zachariaszów,Zachariaszami,Zachariaszach,Zachariaszowie
1152,Zbigniew,m,s,Zbigniew,Zbigniewa,Zbigniewowi,Zbigniewa,Zbigniewem,Zbigniewie,Zbigniewie,Zbigniew,Zbigniewa,Zbigniewowi,Zbigniewa,Zbigniewem,Zbigniewie,Zbigniewie
1153,Zbigniew,m,pl,Zbigniewowie,Zbigniewów,Zbigniewom,Zbigniewów,Zbigniewami,Zbigniewach,Zbigniewowie,Zbigniewowie,Zbigniewów,Zbigniewom,Zbigniewów,Zbigniewami,Zbigniewach,Zbigniewowie
1154,Zdzisław,m,s,Zdzisław,Zdzisława,Zdzisławowi,Zdzisława,Zdzisławem,Zdzisławie,Zdzisławie,Zdzisław,Zdzisława,Zdzisławowi,Zdzisława,Zdzisławem,Zdzisławie,Zdzisławie
1155,Zdzisław,m,pl,Zdzisławowie,Zdzisławów,Zdzisławom,Zdzisławów,Zdzisławami,Zdzisławach,Zdzisławowie,Zdzisławowie,Zdzisławów,Zdzisławom,Zdzisławów,Zdzisławami,Zdzisławach,Zdzisławowie
1156,Zefiryn,m,s,Zefiryn,Zefiryna,Zefirynowi,Zefiryna,Zefirynem,Zefirynie,Zefirynie,Zefiryn,Zefiryna,Zefirynowi,Zefiryna,Zefirynem,Zefirynie,Zefirynie
1157,Zefiryn,m,pl,Zefirynowie,Zefirynów,Zefirynom,Zefirynów,Zefirynami,Zefirynach,Zefirynowie,Zefirynowie,Zefirynów,Zefirynom,Zefirynów,Zefirynami,Zefirynach,Zefirynowie
1158,Zenon,m,s,Zenon,Zenona,Zenonowi,Zenona,Zenonem,Zenonie,Zenonie,Zenon,Zenona,Zenonowi,Zenona,Zenonem,Zenonie,Zenonie
1159,Zenon,m,pl,Zenonowie,Zenonów,Zenonom,Zenonów,Zenonami,Zenonach,Zenonowie,Zenonowie,Zenonów,Zenonom,Zenonów,Zenonami,Zenonach,Zenonowie
1160,Ziemowit,m,s,Ziemowit,Ziemowita,Ziemowitowi,Ziemowita,Ziemowitem,Ziemowicie,Ziemowicie,Ziemowit,Ziemowita,Ziemowitowi,Ziemowita,Ziemowitem,Ziemowicie,Ziemowicie
1161,Ziemowit,m,pl,Ziemowitowie,Ziemowitów,Ziemowitom,Ziemowitów,Ziemowitami,Ziemowitach,Ziemowitowie,Ziemowitowie,Ziemowitów,Ziemowitom,Ziemowitów,Ziemowitami,Ziemowitach,Ziemowitowie
1162,Zygbert,m,s,Zygbert,Zygberta,Zygbertowi,Zygberta,Zygbertem,Zygbercie,Zygbercie,Zygbert,Zygberta,Zygbertowi,Zygberta,Zygbertem,Zygbercie,Zygbercie
1163,Zygbert,m,pl,Zygbertowie,Zygbertów,Zygbertom,Zygbertów,Zygbertami,Zygbertach,Zygbertowie,Zygbertowie,Zygbertów,Zygbertom,Zygbertów,Zygbertami,Zygbertach,Zygbertowie
1164,Zygfryd,m,s,Zygfryd,Zygfryda,Zygfrydowi,Zygfryda,Zygfrydem,Zygfrydzie,Zygfrydzie,Zygfryd,Zygfryda,Zygfrydowi,Zygfryda,Zygfrydem,Zygfrydzie,Zygfrydzie
1165,Zygfryd,m,pl,Zygfrydowie,Zygfrydów,Zygfrydom,Zygfrydów,Zygfrydami,Zygfrydach,Zygfrydowie,Zygfrydowie,Zygfrydów,Zygfrydom,Zygfrydów,Zygfrydami,Zygfrydach,Zygfrydowie
1166,Zygmunt,m,s,Zygmunt,Zygmunta,Zygmuntowi,Zygmunta,Zygmuntem,Zygmuncie,Zygmuncie,Zygmunt,Zygmunta,Zygmuntowi,Zygmunta,Zygmuntem,Zygmuncie,Zygmuncie
1167,Zygmunt,m,pl,Zygmuntowie,Zygmuntów,Zygmuntom,Zygmuntów,Zygmuntami,Zygmuntach,Zygmuntowie,Zygmuntowie,Zygmuntów,Zygmuntom,Zygmuntów,Zygmuntami,Zygmuntach,Zygmuntowie
