,name,sex,category,mianownik,dopełniacz,celownik,biernik,narzędnik,miejscownik,wołacz,nominativus,genetivus,dativus,accusativus,instrumentalis,locativus,vocativus
496,Polianna,f,pl,,,,,,,,,,,,,,
497,Polmira,f,s,,,,,,,,,,,,,,
498,Polmira,f,pl,,,,,,,,,,,,,,
499,Przemysława,f,s,,,,,,,,,,,,,,
500,Przemysława,f,pl,,,,,,,,,,,,,,
501,Przybysława,f,s,,,,,,,,,,,,,,
502,Przybysława,f,pl,,,,,,,,,,,,,,
503,Rachela,f,s,,,,,,,,,,,,,,
504,Rachela,f,pl,,,,,,,,,,,,,,
505,Radmiła,f,s,,,,,,,,,,,,,,
506,Radmiła,f,pl,,,,,,,,,,,,,,
507,Radomira,f,s,,,,,,,,,,,,,,
508,Radomira,f,pl,,,,,,,,,,,,,,
509,Radomiła,f,s,,,,,,,,,,,,,,
510,Radomiła,f,pl,,,,,,,,,,,,,,
511,Radosława,f,s,,,,,,,,,,,,,,
512,Radosława,f,pl,,,,,,,,,,,,,,
513,Rajmunda,f,s,,,,,,,,,,,,,,
514,Rajmunda,f,pl,,,,,,,,,,,,,,
515,Rajna,f,s,,,,,,,,,,,,,,
516,Rajna,f,pl,,,,,,,,,,,,,,
517,Ramona,f,s,,,,,,,,,,,,,,
518,Ramona,f,pl,,,,,,,,,,,,,,
519,Raszyda,f,s,,,,,,,,,,,,,,
520,Raszyda,f,pl,,,,,,,,,,,,,,
521,Rebeka,f,s,,,,,,,,,,,,,,
522,Rebeka,f,pl,,,,,,,,,,,,,,
523,Rejna,f,s,,,,,,,,,,,,,,
524,Rejna,f,pl,,,,,,,,,,,,,,
525,Remigia,f,s,,,,,,,,,,,,,,
526,Remigia,f,pl,,,,,,,,,,,,,,
